"";"ref.date";"ticker";"price.adjusted"
"1589";2020-05-29;"PETR4.SA";16,531858
"1590";2020-06-01;"PETR4.SA";16,523731
"1591";2020-06-02;"PETR4.SA";17,3934
"1592";2020-06-03;"PETR4.SA";17,450294
"1593";2020-06-04;"PETR4.SA";17,417786
"1594";2020-06-05;"PETR4.SA";17,962343
"1595";2020-06-08;"PETR4.SA";18,311838
"1596";2020-06-09;"PETR4.SA";17,653488
"1597";2020-06-10;"PETR4.SA";17,3934
"1598";2020-06-12;"PETR4.SA";16,743181
"1599";2020-06-15;"PETR4.SA";16,824459
"1600";2020-06-16;"PETR4.SA";17,369019
"1601";2020-06-17;"PETR4.SA";17,425913
"1602";2020-06-18;"PETR4.SA";17,555956
"1603";2020-06-19;"PETR4.SA";17,450294
"1604";2020-06-22;"PETR4.SA";17,027651
"1605";2020-06-23;"PETR4.SA";17,596594
"1606";2020-06-24;"PETR4.SA";17,068293
"1607";2020-06-25;"PETR4.SA";17,450294
"1608";2020-06-26;"PETR4.SA";16,938246
"1609";2020-06-29;"PETR4.SA";17,604721
"1610";2020-06-30;"PETR4.SA";17,515318
"1611";2020-07-01;"PETR4.SA";17,645361
"1612";2020-07-02;"PETR4.SA";17,929831
"1613";2020-07-03;"PETR4.SA";17,864811
"1614";2020-07-06;"PETR4.SA";18,295582
"1615";2020-07-07;"PETR4.SA";18,068005
"1616";2020-07-08;"PETR4.SA";18,40937
"1617";2020-07-09;"PETR4.SA";17,994856
"1618";2020-07-10;"PETR4.SA";18,295582
"1619";2020-07-13;"PETR4.SA";18,01111
"1620";2020-07-14;"PETR4.SA";18,612564
"1621";2020-07-15;"PETR4.SA";18,970186
"1622";2020-07-16;"PETR4.SA";18,466265
"1623";2020-07-17;"PETR4.SA";18,482521
"1624";2020-07-20;"PETR4.SA";18,482521
"1625";2020-07-21;"PETR4.SA";18,99457
"1626";2020-07-22;"PETR4.SA";18,73448
"1627";2020-07-23;"PETR4.SA";18,344715
"1628";2020-07-24;"PETR4.SA";18,474762
"1629";2020-07-27;"PETR4.SA";18,856775
"1630";2020-07-28;"PETR4.SA";18,531658
"1631";2020-07-29;"PETR4.SA";18,832392
"1632";2020-07-30;"PETR4.SA";18,547913
"1633";2020-07-31;"PETR4.SA";18,043982
"1634";2020-08-03;"PETR4.SA";17,718866
"1635";2020-08-04;"PETR4.SA";17,70261
"1636";2020-08-05;"PETR4.SA";18,840517
"1637";2020-08-06;"PETR4.SA";18,873032
"1638";2020-08-07;"PETR4.SA";18,523531
"1639";2020-08-10;"PETR4.SA";19,059973
"1640";2020-08-11;"PETR4.SA";18,759241
"1641";2020-08-12;"PETR4.SA";19,084356
"1642";2020-08-13;"PETR4.SA";18,564171
"1643";2020-08-14;"PETR4.SA";18,425995
"1644";2020-08-17;"PETR4.SA";18,369101
"1645";2020-08-18;"PETR4.SA";18,710472
"1646";2020-08-19;"PETR4.SA";18,604809
"1647";2020-08-20;"PETR4.SA";18,474762
"1648";2020-08-21;"PETR4.SA";18,336588
"1649";2020-08-24;"PETR4.SA";18,669832
"1650";2020-08-25;"PETR4.SA";18,588554
"1651";2020-08-26;"PETR4.SA";18,060238
"1652";2020-08-27;"PETR4.SA";18,003344
"1653";2020-08-28;"PETR4.SA";18,320333
"1654";2020-08-31;"PETR4.SA";17,792017
"1655";2020-09-01;"PETR4.SA";18,588554
"1656";2020-09-02;"PETR4.SA";18,531658
"1657";2020-09-03;"PETR4.SA";18,596682
"1658";2020-09-04;"PETR4.SA";18,629192
"1659";2020-09-08;"PETR4.SA";18,092751
"1660";2020-09-09;"PETR4.SA";18,474762
"1661";2020-09-10;"PETR4.SA";17,97896
"1662";2020-09-11;"PETR4.SA";17,783888
"1663";2020-09-14;"PETR4.SA";17,62133
"1664";2020-09-15;"PETR4.SA";17,613203
"1665";2020-09-16;"PETR4.SA";17,661972
"1666";2020-09-17;"PETR4.SA";18,003344
"1667";2020-09-18;"PETR4.SA";17,596947
"1668";2020-09-21;"PETR4.SA";16,987352
"1669";2020-09-22;"PETR4.SA";16,906073
"1670";2020-09-23;"PETR4.SA";16,442781
"1671";2020-09-24;"PETR4.SA";16,580959
"1672";2020-09-25;"PETR4.SA";16,361504
"1673";2020-09-28;"PETR4.SA";15,955106
"1674";2020-09-29;"PETR4.SA";15,695013
"1675";2020-09-30;"PETR4.SA";15,938851
"1676";2020-10-01;"PETR4.SA";16,133923
"1677";2020-10-02;"PETR4.SA";15,459305
"1678";2020-10-05;"PETR4.SA";16,280226
"1679";2020-10-06;"PETR4.SA";16,198946
"1680";2020-10-07;"PETR4.SA";16,085154
"1681";2020-10-08;"PETR4.SA";16,61347
"1682";2020-10-09;"PETR4.SA";16,093281
"1683";2020-10-13;"PETR4.SA";16,361504
"1684";2020-10-14;"PETR4.SA";16,231455
"1685";2020-10-15;"PETR4.SA";16,052643
"1686";2020-10-16;"PETR4.SA";15,711271
"1687";2020-10-19;"PETR4.SA";15,8657
"1688";2020-10-20;"PETR4.SA";16,402143
"1689";2020-10-21;"PETR4.SA";16,385887
"1690";2020-10-22;"PETR4.SA";16,938585
"1691";2020-10-23;"PETR4.SA";16,719131
"1692";2020-10-26;"PETR4.SA";16,459038
"1693";2020-10-27;"PETR4.SA";16,158304
"1694";2020-10-28;"PETR4.SA";15,174828
"1695";2020-10-29;"PETR4.SA";15,67876
"1696";2020-10-30;"PETR4.SA";15,394282
"1697";2020-11-03;"PETR4.SA";15,971363
"1698";2020-11-04;"PETR4.SA";16,028257
"1699";2020-11-05;"PETR4.SA";16,166433
"1700";2020-11-06;"PETR4.SA";16,052643
"1701";2020-11-09;"PETR4.SA";17,564436
"1702";2020-11-10;"PETR4.SA";18,759241
"1703";2020-11-11;"PETR4.SA";18,596682
"1704";2020-11-12;"PETR4.SA";17,808273
"1705";2020-11-13;"PETR4.SA";18,393484
"1706";2020-11-16;"PETR4.SA";18,929928
"1707";2020-11-17;"PETR4.SA";19,255043
"1708";2020-11-18;"PETR4.SA";19,141251
"1709";2020-11-19;"PETR4.SA";19,360706
"1710";2020-11-23;"PETR4.SA";20,401081
"1711";2020-11-24;"PETR4.SA";21,311405
"1712";2020-11-25;"PETR4.SA";21,335791
"1713";2020-11-26;"PETR4.SA";20,98629
"1714";2020-11-27;"PETR4.SA";20,726196
"1715";2020-11-30;"PETR4.SA";20,238522
"1716";2020-12-01;"PETR4.SA";20,807476
"1717";2020-12-02;"PETR4.SA";21,059441
"1718";2020-12-03;"PETR4.SA";21,652779
"1719";2020-12-04;"PETR4.SA";22,376165
"1720";2020-12-07;"PETR4.SA";21,945385
"1721";2020-12-08;"PETR4.SA";21,669033
"1722";2020-12-09;"PETR4.SA";21,896618
"1723";2020-12-10;"PETR4.SA";22,611874
"1724";2020-12-11;"PETR4.SA";22,408676
"1725";2020-12-14;"PETR4.SA";22,449316
"1726";2020-12-15;"PETR4.SA";22,636259
"1727";2020-12-16;"PETR4.SA";22,912605
"1728";2020-12-17;"PETR4.SA";22,953247
"1729";2020-12-18;"PETR4.SA";22,839457
"1730";2020-12-21;"PETR4.SA";21,961639
"1731";2020-12-22;"PETR4.SA";22,172966
"1732";2020-12-23;"PETR4.SA";22,717539
"1733";2020-12-28;"PETR4.SA";22,904478
"1734";2020-12-29;"PETR4.SA";22,977631
"1735";2020-12-30;"PETR4.SA";23,034527
"1736";2021-01-04;"PETR4.SA";23,497816
"1737";2021-01-05;"PETR4.SA";24,416275
"1738";2021-01-06;"PETR4.SA";24,46504
"1739";2021-01-07;"PETR4.SA";25,196552
"1740";2021-01-08;"PETR4.SA";25,294088
"1741";2021-01-11;"PETR4.SA";25,082762
"1742";2021-01-12;"PETR4.SA";24,895819
"1743";2021-01-13;"PETR4.SA";23,692888
"1744";2021-01-14;"PETR4.SA";23,936726
